  nonchalad; despreocupado
  astonised; asombrado
  reassure; tranquilizar
  stubborn; obstinado
  unnerving; desconsertante
  levarage; aprovecharse, apalancar, ventaja
  mob; multitud
  moreover; además
  nevertheless; sin embargo
  therefore; por lo tanto
  whereas; considerando que, mentras que
  otherwise; de lo contrario
  such; tal, tan
  overhearing; escuchar por accidente
  missed; perdió
  stage; etapa,fase
  buy-in; aceptación
  lock down on; cree usted está mejor q otro
  move up; moverse a una mejor posición, ascender
  pay off; tener buenos resultados
  scale back; reducir tamaño
  upper management; alta dirección, gerencia
  word of mouth; boca a boca
